Specimen label,"Steel ME354"
End date,"Monday, October 14, 2019"
Thickness,"6.20000",mm
Width,"12.30000",mm
Final length,"78.43000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.05000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"15.500","1.292","20492.12","0.00124","0.00036"
"15.600","1.300","20674.33","0.00125","0.00036"
"15.700","1.309","20784.95","0.00126","0.00036"
"15.800","1.317","20959.64","0.00128","0.00037"
"15.900","1.325","21127.43","0.00129","0.00037"
"16.000","1.334","21224.73","0.00130","0.00037"
"16.100","1.342","21283.60","0.00131","0.00038"
"16.200","1.350","21486.18","0.00132","0.00038"
"16.300","1.359","21675.39","0.00134","0.00039"
"16.400","1.367","21843.69","0.00135","0.00039"
"16.500","1.375","21884.41","0.00137","0.00040"
"16.600","1.384","22030.88","0.00138","0.00040"
"16.700","1.392","22220.73","0.00140","0.00041"
"16.800","1.400","22335.04","0.00141","0.00042"
"16.900","1.409","22507.07","0.00143","0.00042"
"17.000","1.417","22630.92","0.00145","0.00043"
"17.100","1.425","22720.65","0.00146","0.00044"
"17.200","1.434","22833.43","0.00148","0.00044"
"17.300","1.442","22997.93","0.00150","0.00045"
"17.400","1.450","23182.71","0.00152","0.00046"
"17.500","1.459","23345.60","0.00154","0.00047"
"17.600","1.467","23347.81","0.00156","0.00047"
"17.700","1.475","23478.56","0.00158","0.00048"
"17.800","1.484","23647.61","0.00160","0.00049"
"17.900","1.492","23828.29","0.00163","0.00049"
"18.000","1.500","23903.83","0.00164","0.00050"
"18.100","1.509","24032.28","0.00167","0.00051"
"18.200","1.517","24111.17","0.00170","0.00052"
"18.300","1.525","24242.49","0.00172","0.00053"
"18.400","1.534","24344.63","0.00175","0.00053"
"18.500","1.542","24420.37","0.00178","0.00054"
"18.600","1.550","24599.79","0.00181","0.00055"
"18.700","1.559","24719.45","0.00184","0.00056"
"18.800","1.567","24831.47","0.00187","0.00057"
"18.900","1.575","24855.55","0.00190","0.00058"
"19.000","1.584","24904.00","0.00194","0.00059"
"19.100","1.592","25018.86","0.00197","0.00060"
"19.200","1.600","25145.27","0.00200","0.00061"
"19.300","1.609","25237.58","0.00204","0.00062"
"19.400","1.617","25360.70","0.00208","0.00063"
"19.500","1.625","25401.76","0.00212","0.00064"
"19.600","1.634","25423.35","0.00215","0.00065"
"19.700","1.642","25444.49","0.00219","0.00066"
"19.800","1.650","25477.28","0.00223","0.00067"
"19.900","1.659","25497.30","0.00226","0.00067"
"20.000","1.667","25489.16","0.00230","0.00067"
"20.100","1.675","25480.18","0.00233","0.00067"
"20.200","1.684","25469.79","0.00237","0.00066"
"20.300","1.692","25462.21","0.00240","0.00065"
"20.400","1.700","25464.35","0.00243","0.00065"
"20.500","1.708","25462.08","0.00247","0.00064"
"20.600","1.717","25464.31","0.00250","0.00063"
"20.700","1.725","25457.83","0.00254","0.00062"
"20.800","1.733","25457.28","0.00257","0.00062"
"20.900","1.742","25446.86","0.00260","0.00061"
"21.000","1.750","25433.05","0.00263","0.00060"
"21.100","1.759","25413.11","0.00268","0.00059"
"21.200","1.767","25398.86","0.00273","0.00058"
"21.300","1.775","25388.50","0.00279","0.00057"
"21.400","1.784","25387.44","0.00286","0.00056"
"21.500","1.792","25395.44","0.00293","0.00056"
"21.600","1.800","25404.87","0.00301","0.00055"
"21.700","1.809","25416.86","0.00310","0.00055"
"21.800","1.817","25431.16","0.00319","0.00055"
"21.900","1.825","25445.98","0.00329","0.00055"
"22.000","1.834","25461.92","0.00339","0.00055"
"22.100","1.842","25482.47","0.00349","0.00056"
"22.200","1.850","25511.26","0.00359","0.00056"
"22.300","1.859","25548.83","0.00369","0.00057"
"22.400","1.867","25576.99","0.00379","0.00058"
"22.500","1.875","25628.34","0.00390","0.00058"
"22.600","1.884","25686.89","0.00401","0.00059"
"22.700","1.892","25706.46","0.00413","0.00059"
"22.800","1.900","25714.60","0.00428","0.00060"
"22.900","1.908","25717.97","0.00445","0.00061"
"23.000","1.917","25710.46","0.00463","0.00061"
"23.100","1.925","25706.09","0.00484","0.00062"
"23.200","1.934","25693.46","0.00506","0.00062"
"23.300","1.942","25672.47","0.00529","0.00064"
"23.400","1.950","25632.24","0.00554","0.00065"
"23.500","1.959","25579.02","0.00579","0.00066"
"23.600","1.967","25555.80","0.00605","0.00069"
"23.700","1.975","25536.71","0.00629","0.00074"
"23.800","1.984","25499.74","0.00654","0.00082"
"23.900","1.992","25474.30","0.00679","0.00092"
"24.000","2.000","25465.92","0.00702","0.00105"
"24.100","2.009","25448.04","0.00725","0.00118"
"24.200","2.017","25435.99","0.00747","0.00131"
"24.300","2.025","25417.00","0.00769","0.00144"
"24.400","2.034","25392.60","0.00789","0.00156"
"24.500","2.042","25339.38","0.00807","0.00167"
"24.600","2.050","25276.72","0.00825","0.00177"
"24.700","2.059","25262.81","0.00842","0.00185"
